SiteNumber,Name,FullName
10020100,Above Woodruff,
10038000,BelowSmithsFork,BearRiverBelowSmithsForkWY
10039500,WYID,BearRiveratWYID
10068500,Pescadero,BearRiveratPescadero
10092700,IDUT,BearRiveratUTBorder
10118000,Collinston,BearRiveratCollinston
10126000,Corrine,BearRiverAtCorrine
10109000,Logan,LoganRiverAbStateDam
10113500,BSF,BSFRiver
10105900,LBR,LittleBearRiverParadise
10075000,SodaSprings,BearRiveratSodaSpring
