Elevation(ft),Area(acres),Volume(acft)
4172.18,68905.93,46234.99
4172.19,70113.64,46913.63
4172.2,71000.37,47637.08
4172.21,71714.85,48333.51
4172.22,72379.94,49072.33
4172.23,73009.69,49782.14
4172.24,73669.23,50533.9
4172.25,74273.03,51256.27
4172.26,74941.75,51984.67
4172.27,75642.06,52756.55
4172.28,76180.93,53497.88
4172.29,76679.56,54281.59
4172.3,77168.58,55032.65
4172.31,77698.41,55826.5
4172.32,78273.75,56587.87
4172.33,78834.22,57393.16
4172.34,79381.77,58165.68
4172.35,79890.5,58982.11
4172.36,80354.44,59764.76
4172.37,80823.72,60591.15
4172.38,81222.37,61382.31
4172.39,81698.69,62217.48
4172.4,82161.91,63017.48
4172.41,82645.11,63862.35
4172.42,83113.27,64671.71
4172.43,83581.02,65526.34
4172.44,83993.77,66344.51
4172.45,84428.08,67207.98
4172.46,84811.66,68034.31
4172.47,85192.15,68905.88
4172.48,85587.87,69739.73
4172.49,86029.22,70619.49
4172.5,86444.59,71461.57
4172.51,86878.29,72307.77
4172.52,87313.4,73200.91
4172.53,87696.64,74055.4
4172.54,88072.44,74956.58
4172.55,88442.06,75818.33
4172.56,88835.51,76727.17
4172.57,89225.89,77596.49
4172.58,89619.8,78513.32
4172.59,90022.73,79390.43
4172.6,90431.92,80315.55
4172.61,90795.34,81200.36
4172.62,91199.03,82133.3
4172.63,91590.08,83025.71
4172.64,91997.37,83966.82
4172.65,92382.28,84867.05
4172.66,92785.12,85816.27
4172.67,93174.15,86724.2
4172.68,93560.35,87681.52
4172.69,93920.69,88596.85
4172.7,94302.91,89561.77
4172.71,94673.58,90484.39
4172.72,95058.41,91457.05
4172.73,95417.49,92386.98
4172.74,95833.45,93367.39
4172.75,96240.79,94305.14
4172.76,96641.32,95246.81
4172.77,97057.02,96239.75
4172.78,97419.37,97189.27
4172.79,97833.44,98190.18
4172.8,98233.51,99147.36
4172.81,98696.84,100156.98
4172.82,99106.84,101122.64
4172.83,99608.68,102141.32
4172.84,100033.16,103116.05
4172.85,100485.59,104143.95
4172.86,100921.28,105127.13
4172.87,101503.81,106164.81
4172.88,101989.86,107158.28
4172.89,102524.35,108206.5
4172.9,103091.91,109210.36
4172.91,103620.23,110270.1
4172.92,104067.6,111284
4172.93,104627.54,112353.8
4172.94,105118.14,113377.76
4172.95,105716.4,114458.47
4172.96,106280.34,115493.54
4172.97,106743.73,116585.68
4172.98,107240.61,117630.45
4172.99,107707.68,118732.41
4173,108216.53,119786.57
4173.01,108804.17,120846.13
4173.02,109413.41,121964.78
4173.03,109989.71,123035.95
4173.04,110639.56,124166.88
4173.05,111360.01,125250.56
4173.06,111995.69,126395.66
4173.07,112577.17,127492.05
4173.08,113295.84,128649.64
4173.09,114077.76,129759.66
4173.1,114807.76,130933.16
4173.11,115400.32,132057.08
4173.12,115971.06,133243.3
4173.13,116632.76,134378.73
4173.14,117418.47,135578.92
4173.15,118027.11,136728.37
4173.16,118777.12,137942.13
4173.17,119437.2,139105.23
4173.18,120054.65,140332.98
4173.19,120659.62,141508.14
4173.2,121296.11,142748.59
4173.21,121799.32,143935.43
4173.22,122342.92,145187.06
4173.23,122822.32,146384.04
4173.24,123369.96,147646.17
4173.25,123821.58,148853.02
4173.26,124273.26,150064.35
4173.27,124823.22,151341.28
4173.28,125354.35,152563.02
4173.29,125746.76,153850.38
4173.3,126148.34,155080.21
4173.31,126654.08,156376.29
4173.32,127085.3,157615.23
4173.33,127542.6,158920.6
4173.34,128016.97,160168.3
4173.35,128444.33,161483.28
4173.36,128782.2,162739.23
4173.37,129215.49,164061.74
4173.38,129612.07,165325.59
4173.39,129972.73,166656.45
4173.4,130312.9,167927.32
4173.41,130733.86,169265.61
4173.42,131095.7,170544.07
4173.43,131420.38,171889.96
4173.44,131714.4,173174.76
4173.45,132038.34,174526.98
4173.46,132340.52,175817.82
4173.47,132697.9,177176.6
4173.48,133009.22,178473.96
4173.49,133327.36,179839.43
4173.5,133620.48,181142.82
4173.51,133948.71,182449.3
4173.52,134252.84,183824.28
4173.53,134572.82,185136.85
4173.54,134865.2,186518.18
4173.55,135168.48,187836.62
4173.56,135502.21,189224.23
4173.57,135833.26,190549.03
4173.58,136153.69,191943.41
4173.59,136517.3,193274.71
4173.6,136830.47,194676.1
4173.61,137128.44,196013.71
4173.62,137444.94,197421.35
4173.63,137786.45,198765.13
4173.64,138104.49,200179.56
4173.65,138434.85,201529.75
4173.66,138766.2,202950.86
4173.67,139079.36,204307.43
4173.68,139400.57,205735.09
4173.69,139733.91,207097.98
4173.7,140053.67,208532.35
4173.71,140390.94,209901.59
4173.72,140723.88,211342.72
4173.73,141043.45,212718.48
4173.74,141378.83,214166.38
4173.75,141688.13,215548.44
4173.76,141998.85,216933.53
4173.77,142335.59,218391.21
4173.78,142669.73,219782.68
4173.79,143034.44,221247.41
4173.8,143362.14,222645.71
4173.81,143708.33,224117.41
4173.82,144036.35,225522.28
4173.83,144396.58,227000.92
4173.84,144740.02,228412.62
4173.85,145073.25,229898.45
4173.86,145434.53,231316.84
4173.87,145799.08,232809.97
4173.88,146154.63,234235.5
4173.89,146505.72,235735.92
4173.9,146862.61,237168.32
4173.91,147198.67,238675.92
4173.92,147538.11,240115.02
4173.93,147901.99,241629.71
4173.94,148265.56,243075.74
4173.95,148703.2,244598.2
4173.96,149126.64,246052.44
4173.97,149493.3,247583.42
4173.98,149850.92,249045
4173.99,150228.93,250583.42
4174,150644.86,252052.41
4174.01,151074.7,253525.59
4174.02,151534.73,255076.84
4174.03,151966.35,256558.73
4174.04,152442.66,258119.28
4174.05,152926.95,259610.19
4174.06,153415.73,261180.67
4174.07,153929.88,262681.16
4174.08,154595.8,264262.85
4174.09,155176.93,265775.3
4174.1,155834.31,267369.68
4174.11,156443.56,268894.36
4174.12,157006.92,270501.29
4174.13,157647.7,272037.1
4174.14,158321.4,273657.44
4174.15,158858.27,275206.07
4174.16,159395.13,276837.63
4174.17,159836.9,278396.29
4174.18,160328.82,280037.6
4174.19,160858.79,281605.73
4174.2,161407.93,283258.1
4174.21,161819.28,284836.2
4174.22,162225.07,286497.5
4174.23,162603.21,288083.49
4174.24,163002.05,289752.74
4174.25,163299.65,291345.94
4174.26,163590.55,292942.06
4174.27,163935.04,294621.18
4174.28,164278.81,296223.81
4174.29,164629.04,297910.04
4174.3,164973.43,299519.45
4174.31,165286.37,301212.64
4174.32,165579.58,302828.15
4174.33,165920.2,304527.63
4174.34,166232.59,306149.46
4174.35,166574.66,307855.73
4174.36,166871.8,309483.87
4174.37,167169.7,311196.51
4174.38,167444.92,312830.31
4174.39,167759.88,314548.82
4174.4,168088.05,316188.72
4174.41,168381.49,317913.77
4174.42,168651.94,319559.4
4174.43,168939.09,321290.16
4174.44,169222.14,322941.29
4174.45,169511.29,324677.9
4174.46,169825.37,326334.75
4174.47,170133.15,328077.66
4174.48,170395.03,329740.37
4174.49,170677.01,331488.97
4174.5,170955.02,333157.06
4174.51,171246.09,334827.87
4174.52,171544.48,336585.3
4174.53,171813.99,338261.79
4174.54,172107.85,340024.99
4174.55,172382.27,341707
4174.56,172689.31,343476.08
4174.57,172964.36,345163.8
4174.58,173240.79,346938.73
4174.59,173511.94,348631.78
4174.6,173791.48,350412.31
4174.61,174083.28,352110.82
4174.62,174384.62,353897.37
4174.63,174646.02,355601.58
4174.64,174913.74,357393.67
4174.65,175183.21,359103.04
4174.66,175483.29,360900.76
4174.67,175798.49,362615.96
4174.68,176087.26,364420.02
4174.69,176359.1,366140.87
4174.7,176629.68,367950.56
4174.71,176921.67,369676.76
4174.72,177220.54,371492.38
4174.73,177493.48,373224.38
4174.74,177780.89,375045.83
4174.75,178041.9,376783.23
4174.76,178341.18,378523.33
4174.77,178619.42,380353.41
4174.78,178911.31,382099.14
4174.79,179193.3,383935.12
4174.8,179472.2,385686.35
4174.81,179764.7,387528.1
4174.82,180058.02,389285.01
4174.83,180359.32,391132.79
4174.84,180666.27,392895.57
4174.85,180961.26,394749.6
4174.86,181253.69,396518.18
4174.87,181575.72,398378.36
4174.88,181870.28,400152.93
4174.89,182191.12,402019.42
4174.9,182508.78,403800.08
4174.91,182884.43,405673.4
4174.92,183204.75,407460.89
4174.93,183548.39,409341.13
4174.94,183879.82,411135.17
4174.95,184221.8,413022.34
4174.96,184567.26,414822.98
4174.97,184906.93,416717.17
4174.98,185300.38,418524.71
4174.99,185689.18,420426.67
4175,186057.16,422241.75
4175.01,186441.6,424060.43
4175.02,186823.28,425974.06
4175.03,187170.8,427800.05
4175.04,187651.74,429721.46
4175.05,188136.46,431556.18
4175.06,188541.83,433487.3
4175.07,189032.68,435330.66
4175.08,189599.89,437271.63
4175.09,190134.32,439125.69
4175.1,190635.07,441077.69
4175.11,191245.66,442942.33
4175.12,191799.5,444905.98
4175.13,192315.48,446781.15
4175.14,193019.39,448756.89
4175.15,193433.44,450643.72
4175.16,193876.14,452629.29
4175.17,194313.83,454524.7
4175.18,194766.77,456519.28
4175.19,195346.25,458423.98
4175.2,195908.74,460430.03
4175.21,196228.95,462344.63
4175.22,196593.18,464358.5
4175.23,196915.51,466279.8
4175.24,197295.22,468300.62
4175.25,197561.62,470228.61
4175.26,197880.96,472159.4
4175.27,198179.11,474189.92
4175.28,198466.74,476126.62
4175.29,198773.11,478163.24
4175.3,199067.86,480105.7
4175.31,199386.48,482148.58
4175.32,199651.99,484096.95
4175.33,199980.26,486145.75
4175.34,200237.46,488099.91
4175.35,200511.43,490154.5
4175.36,200755.17,492113.8
4175.37,201023.47,494173.61
4175.38,201310,496138.04
4175.39,201596.05,498203.72
4175.4,201827.07,500173.54
4175.41,202068.6,502244.23
4175.42,202311.15,504218.7
4175.43,202587.28,506294.49
4175.44,202836.65,508274.08
4175.45,203109.24,510355.31
4175.46,203340.42,512339.91
4175.47,203578,514426.09
4175.48,203806.42,516415.24
4175.49,204040.5,518506.2
4175.5,204253.62,520499.77
4175.51,204480.72,522495.48
4175.52,204711.76,524593.33
4175.53,204934.66,526593.51
4175.54,205166.82,528696.01
4175.55,205408.2,530700.69
4175.56,205632.76,532808.03
4175.57,205847.44,534817.14
4175.58,206085.83,536929.03
4175.59,206329.07,538942.71
4175.6,206563.56,541059.54
4175.61,206768.53,543077.75
4175.62,206996.05,545199.07
4175.63,207221.48,547221.61
4175.64,207458.76,549347.64
4175.65,207685.44,551374.68
4175.66,207921.84,553505.47
4175.67,208130.64,555536.95
4175.68,208359.01,557672.26
4175.69,208575.99,559708.04
4175.7,208813.12,561847.95
4175.71,209025.95,563888.17
4175.72,209266.74,566032.69
4175.73,209486.96,568077.36
4175.74,209714.03,570226.55
4175.75,209930.79,572275.59
4175.76,210151.38,574326.75
4175.77,210360.77,576482.67
4175.78,210585.58,578538
4175.79,210810.97,580698.45
4175.8,211041.73,582758.24
4175.81,211256.14,584923.32
4175.82,211467.91,586987.37
4175.83,211694.67,589156.86
4175.84,211927.25,591225.3
4175.85,212154.47,593399.51
4175.86,212389.18,595472.44
4175.87,212615.37,597651.39
4175.88,212838.67,599728.76
4175.89,213071.43,601912.31
4175.9,213316.78,603994.24
4175.91,213554.89,606182.75
4175.92,213789.2,608269.35
4175.93,214035.34,610462.74
4175.94,214290.38,612554.11
4175.95,214553.58,614752.74
4175.96,214807.94,616849.17
4175.97,215084.15,619053.14
4175.98,215330.14,621154.73
4175.99,215587.42,623363.95
4176,215869.67,625470.58
4176.01,216135.13,627579.93
4176.02,216399.42,629797.43
4176.03,216649.34,631911.83
4176.04,216975.57,634134.82
4176.05,217296.42,636255.25
4176.06,217592.73,638484.81
4176.07,217910.86,640611.13
4176.08,218258.64,642847.32
4176.09,218585.72,644980.17
4176.1,218992.85,647223.5
4176.11,219354.55,649363.72
4176.12,219692.86,651614.55
4176.13,220009.01,653761.41
4176.14,220496.85,656019.76
4176.15,220858.74,658174.66
4176.16,221340.87,660441.58
4176.17,221669.48,662604.64
4176.18,222014.54,664879.17
4176.19,222424.06,667049.26
4176.2,222784.35,669331.7
4176.21,223118.15,671508.88
4176.22,223424.85,673798.31
4176.23,223687.27,675981.45
4176.24,223970,678276.48
4176.25,224297.1,680465.27
4176.26,224602.22,682657.13
4176.27,224906.56,684961.68
4176.28,225179.07,687159.34
4176.29,225480.89,689469.73
4176.3,225736.03,691672.95
4176.31,225994.38,693988.89
4176.32,226248.15,696197.02
