Elevation(ft),Area(acres),Volume(acft)
4179.27,302837.68,1477884.81
4179.28,303189.9,1480843.36
4179.29,303456.82,1483953.74
4179.3,303672.39,1486918.21
4179.31,303940.12,1490033.39
4179.32,304157.12,1493002.46
4179.33,304414.05,1496122.57
4179.34,304634.34,1499096.34
4179.35,304864.29,1502221.14
4179.36,305063.86,1505199.26
4179.37,305266.71,1508328.31
4179.38,305468.91,1511310.37
4179.39,305680.98,1514443.66
4179.4,305859.62,1517429.66
4179.41,306056.91,1520566.87
4179.42,306230.65,1523556.5
4179.43,306443.89,1526697.59
4179.44,306644.73,1529691.11
4179.45,306847.92,1532836.46
4179.46,307032.72,1535833.94
4179.47,307216.46,1538983.16
4179.48,307394.54,1541984.17
4179.49,307589.01,1545137.14
4179.5,307787.34,1548141.87
4179.51,307966.74,1551148.47
4179.52,308159.29,1554307.3
4179.53,308331.2,1557317.49
4179.54,308532.67,1560480.08
4179.55,308718.99,1563493.97
4179.56,308912.21,1566660.54
4179.57,309078.29,1569678.05
4179.58,309264.83,1572848.23
4179.59,309450.67,1575869.27
4179.6,309655.24,1579043.35
4179.61,309846.11,1582068.25
4179.62,310041.78,1585246.36
4179.63,310216.42,1588274.95
4179.64,310410.86,1591456.82
4179.65,310589.91,1594489.01
4179.66,310796.76,1597674.83
4179.67,310982.97,1600710.83
4179.68,311174.58,1603900.58
4179.69,311350.06,1606940.21
4179.7,311548.06,1610133.76
4179.71,311733.03,1613177.1
4179.72,311937.13,1616374.62
4179.73,312104.96,1619421.66
4179.74,312287.15,1622622.86
4179.75,312452.04,1625673.32
4179.76,312630.08,1628725.47
4179.77,312815.81,1631932.09
4179.78,312991.49,1634987.81
4179.79,313174.81,1638198.12
4179.8,313342.45,1641257.29
4179.81,313523.14,1644471.19
4179.82,313695.12,1647533.77
4179.83,313889.18,1650751.37
4179.84,314061.67,1653817.53
4179.85,314251.62,1657038.85
4179.86,314447.71,1660108.64
4179.87,314679.67,1663334.07
4179.88,314866.59,1666408.06
4179.89,315060.74,1669637.66
4179.9,315240.95,1672715.29
4179.91,315449.7,1675948.79
4179.92,315646.88,1679030.31
4179.93,315870.2,1682268.06
4179.94,316058.37,1685353.63
4179.95,316278.77,1688595.58
4179.96,316489.48,1691685.22
4179.97,316728.71,1694931.7
4179.98,316937.3,1698025.76
4179.99,317163.88,1701276.73
4180,317385.49,1704375.1
4180.01,317604.81,1707475.62
4180.02,317816.13,1710733.36
4180.03,318048.6,1713838.14
4180.04,318311.73,1717100.66
4180.05,318543.53,1720210.29
4180.06,318777.7,1723477.76
4180.07,319013.62,1726591.93
4180.08,319272.98,1729864.33
4180.09,319541.41,1732983.47
4180.1,319856.23,1736261.58
4180.11,320146.29,1739386.51
4180.12,320419.46,1742670.67
4180.13,320704.32,1745801.09
4180.14,321008.97,1749091.02
4180.15,321303.8,1752227.23
4180.16,321609.09,1755523.33
4180.17,321963.14,1758665.8
4180.18,322325.56,1761968.91
4180.19,322570.21,1765117.8
4180.2,322787.43,1768426.49
4180.21,323000.86,1771579.71
4180.22,323204.42,1774892.75
4180.23,323404.66,1778049.98
4180.24,323607.99,1781367.14
4180.25,323817.3,1784528.36
4180.26,324005.03,1787691.53
4180.27,324220.4,1791014.89
4180.28,324422.94,1794182.03
4180.29,324627.22,1797509.65
4180.3,324804.04,1800680.66
4180.31,325014.72,1804012.2
4180.32,325256.58,1807187.23
4180.33,325451.66,1810523.38
4180.34,325648.28,1813702.56
4180.35,325843.94,1817042.72
4180.36,326029.76,1820225.67
4180.37,326230.77,1823569.79
4180.38,326452.42,1826756.72
4180.39,326640.08,1830105.09
4180.4,326834.81,1833295.86
4180.41,327031.11,1836648.18
4180.42,327222.14,1839842.77
4180.43,327404.85,1843199
4180.44,327597.74,1846397.25
4180.45,327802.07,1849757.46
4180.46,327975.17,1852959.48
4180.47,328149.57,1856323.38
4180.48,328328.24,1859528.82
4180.49,328540.05,1862896.55
4180.5,328729.66,1866105.86
4180.51,328893.72,1869316.89
4180.52,329079.4,1872690.23
4180.53,329276.1,1875904.84
4180.54,329459.52,1879282.14
4180.55,329618.66,1882500.26
4180.56,329794.38,1885881.02
4180.57,329951.37,1889102.41
4180.58,330124.15,1892486.57
4180.59,330284.49,1895711.18
4180.6,330463.01,1899098.78
4180.61,330624.27,1902326.73
4180.62,330798.52,1905717.78
4180.63,330970.8,1908949.05
4180.64,331160.39,1912343.71
4180.65,331343.22,1915578.57
4180.66,331520.87,1918977.01
4180.67,331687.97,1922215.31
4180.68,331877.3,1925617.31
4180.69,332065.94,1928859.19
4180.7,332243.4,1932265.05
4180.71,332403.45,1935510.38
4180.72,332576.01,1938919.66
4180.73,332751.81,1942168.27
4180.74,332945.25,1945581.24
4180.75,333120.2,1948833.49
4180.76,333290.46,1952087.45
4180.77,333480.64,1955505.94
4180.78,333647.4,1958763.39
4180.79,333835.95,1962185.53
4180.8,334012.74,1965446.49
4180.81,334204.42,1968872.39
4180.82,334384.43,1972136.98
4180.83,334573.86,1975566.68
4180.84,334760.61,1978834.89
4180.85,334958.57,1982268.5
4180.86,335138.31,1985540.44
4180.87,335327.84,1988977.87
4180.88,335506.6,1992253.41
4180.89,335708.48,1995694.67
4180.9,335904.72,1998974.02
4180.91,336113.41,2002419.41
4180.92,336305.35,2005702.68
4180.93,336506.14,2009152.15
4180.94,336704.27,2012439.26
4180.95,336928.46,2015892.95
4180.96,337121.11,2019184.19
4180.97,337351.75,2022642.15
4180.98,337548.84,2025937.56
4180.99,337768.46,2029399.83
4181,337976.83,2032699.34
4181.01,338193.11,2036000.92
4181.02,338412.61,2039469.8
4181.03,338633.31,2042775.63
4181.04,338861.67,2046249.06
4181.05,339111.29,2049559.39
4181.06,339366.92,2053037.91
4181.07,339593.08,2056353.09
4181.08,339874.91,2059836.65
4181.09,340144.6,2063157
4181.1,340408.68,2066646.12
4181.11,340655.9,2069971.57
4181.12,340945.84,2073465.99
4181.13,341213.83,2076796.8
4181.14,341511.54,2080297.04
4181.15,341772.45,2083633.32
4181.16,342093.81,2087139.33
4181.17,342415.15,2090481.65
4181.18,343003.06,2093995.05
4181.19,343360.4,2097346.19
4181.2,343628.3,2100868.36
4181.21,343909.09,2104225.41
4181.22,344173.19,2107753.17
4181.23,344487.04,2111115.68
4181.24,344725.31,2114649.25
4181.25,344941.45,2118016.79
4181.26,345295.69,2121386.49
4181.27,345616.37,2124929.15
4181.28,345863.11,2128305.35
4181.29,346123.91,2131853.17
4181.3,346368.69,2135234.4
4181.31,346576.8,2138787.08
4181.32,346842.68,2142172.8
4181.33,347041.98,2145730.3
4181.34,347240.52,2149120.36
4181.35,347429.02,2152681.87
4181.36,347639.62,2156075.71
4181.37,347871.93,2159641.7
4181.38,348044.33,2163039.72
4181.39,348215.54,2166609.4
4181.4,348396.43,2170010.79
4181.41,348613.01,2173584.23
4181.42,348841.91,2176989.65
4181.43,349101.96,2180568.01
4181.44,349293.95,2183978.1
4181.45,349480.31,2187560.68
4181.46,349661.1,2190974.42
4181.47,349852.08,2194560.75
4181.48,350078.44,2197978.49
4181.49,350278.54,2201569.11
4181.5,350484.41,2204990.81
4181.51,350691.25,2208414.49
4181.52,350901.94,2212011.5
4181.53,351108.54,2215439.23
4181.54,351298.54,2219040.44
4181.55,351476.07,2222471.89
4181.56,351689.86,2226076.94
4181.57,351901.07,2229512.41
4181.58,352091.12,2233121.73
4181.59,352261.94,2236560.91
4181.6,352468.49,2240174.02
4181.61,352646.3,2243616.92
4181.62,352848.78,2247233.91
4181.63,353061.11,2250680.69
4181.64,353266.83,2254301.93
4181.65,353435.32,2257752.59
4181.66,353621.04,2261377.6
4181.67,353826.26,2264831.86
4181.68,354031.38,2268461
4181.69,354216.88,2271919.16
4181.7,354415.69,2275552.27
4181.71,354602.95,2279014.2
4181.72,354814.65,2282651.28
4181.73,355014.2,2286117.16
4181.74,355234.3,2289758.56
4181.75,355416.74,2293228.49
4181.76,355585.75,2296700.17
4181.77,355778.06,2300347.27
4181.78,355978.72,2303822.65
4181.79,356182.47,2307473.86
4181.8,356395.81,2310953.15
4181.81,356604.38,2314608.65
4181.82,356792.25,2318092.02
4181.83,357001.48,2321751.52
4181.84,357258.84,2325239.05
4181.85,357467.92,2328903.43
4181.86,357648.25,2332395.18
4181.87,357881.31,2336063.54
4181.88,358091.79,2339559.47
4181.89,358324.15,2343232.51
4181.9,358543.82,2346732.82
4181.91,358756.33,2350410.36
4181.92,358983.66,2353914.87
4181.93,359220.23,2357597.09
4181.94,359439.62,2361106.11
4181.95,359705.65,2364793.11
4181.96,359908.53,2368306.83
4181.97,360158.23,2371998.49
4181.98,360406.69,2375516.89
4181.99,360657.3,2379213.68
4182,360912.82,2382736.9
4182.01,361163.93,2386262.66
4182.02,361419.91,2389967.23
4182.03,361693.58,2393497.98
4182.04,362010.18,2397208.28
4182.05,362291.98,2400744.9
4182.06,362574.68,2404461.19
4182.07,362871.89,2408003.31
4182.08,363180.3,2411725.65
4182.09,363465.85,2415273.72
4182.1,363756.88,2419002.15
4182.11,364029.35,2422555.77
4182.12,364337.36,2426289.97
4182.13,364676.91,2429849.6
4182.14,364984.51,2433590.66
4182.15,365284.86,2437156.33
4182.16,365702.84,2440904.24
4182.17,366010.61,2444477.11
4182.18,366403.07,2448231.96
4182.19,366819.13,2451812.2
4182.2,367109.36,2455575.12
4182.21,367366.75,2459161.37
4182.22,367671.49,2462929.89
4182.23,367901.43,2466521.55
4182.24,368168.33,2470295.28
4182.25,368396.17,2473891.84
4182.26,368621.63,2477490.52
4182.27,368837.36,2481271.39
4182.28,369061.04,2484874.4
4182.29,369302.15,2488659.95
4182.3,369527.35,2492267.51
4182.31,369747.18,2496057.69
4182.32,369997.34,2499669.64
4182.33,370237.67,2503464.78
4182.34,370474.84,2507081.48
4182.35,370771.03,2510881.83
4182.36,370987.38,2514503.69
4182.37,371244.06,2518309.1
4182.38,371503.96,2521935.84
4182.39,371737.4,2525746.34
4182.4,372020.39,2529378.07
4182.41,372246.64,2533193.88
4182.42,372460.56,2536830.13
4182.43,372689.25,2540650.48
4182.44,372894.72,2544291.01
4182.45,373119.43,2548115.77
4182.46,373346.54,2551760.58
4182.47,373567.35,2555589.92
4182.48,373811.33,2559239.23
4182.49,374015.66,2563073.29
4182.5,374212.43,2566726.72
4182.51,374402.08,2570382.04
4182.52,374624.91,2574222.22
4182.53,374824.82,2577881.62
4182.54,375044.48,2581726.13
4182.55,375249.95,2585389.64
4182.56,375474.05,2589238.57
4182.57,375672.85,2592906.25
4182.58,375888.93,2596759.44
4182.59,376080.23,2600431.13
4182.6,376283.61,2604288.43
4182.61,376474.46,2607963.97
4182.62,376678.31,2611825.32
4182.63,376860.07,2615504.66
4182.64,377066.16,2619369.94
4182.65,377280.66,2623053.25
4182.66,377505.61,2626922.97
4182.67,377704.58,2630610.48
4182.68,377954.1,2634484.71
4182.69,378148.12,2638176.58
4182.7,378353.79,2642055.12
4182.71,378550.28,2645750.96
4182.72,378748.33,2649633.58
4182.73,378954.58,2653333.31
4182.74,379146.31,2657220.04
4182.75,379350.16,2660923.62
4182.76,379552.01,2664629.19
4182.77,379759.17,2668522.13
4182.78,379946.81,2672231.62
4182.79,380161.18,2676128.63
4182.8,380347.78,2679842.04
4182.81,380562.4,2683743.2
4182.82,380751.71,2687460.51
4182.83,380964.39,2691365.8
4182.84,381153.37,2695087.07
4182.85,381370.09,2698996.44
4182.86,381578.64,2702721.74
4182.87,381793.06,2706635.49
4182.88,381992.19,2710364.89
4182.89,382207.28,2714282.86
4182.9,382412.99,2718016.35
4182.91,382616.86,2721938.6
4182.92,382804.13,2725675.99
4182.93,383018.44,2729602.29
4182.94,383231.78,2733343.69
4182.95,383460.71,2737274.52
4182.96,383657.1,2741020.18
4182.97,383905.96,2744955.5
4182.98,384098.34,2748705.47
4182.99,384317.69,2752645.11
4183,384523.66,2756399.18
4183.01,384742.52,2760155.35
4183.02,384973.7,2764101.65
4183.03,385215.09,2767862.31
4183.04,385474.46,2771813.6
4183.05,385705.32,2775579.11
4183.06,385990.6,2779535.48
4183.07,386268.79,2783306.27
4183.08,386544.27,2787268.48
4183.09,386803.97,2791044.5
4183.1,387075.61,2795012.22
4183.11,387333.36,2798793.53
4183.12,387592.61,2802766.51
4183.13,387838.09,2806552.78
4183.14,388199.43,2810531.43
4183.15,388481.38,2814323.8
4183.16,388781.83,2818308.72
4183.17,389097.42,2822106.89
4183.18,389522.97,2826098.82
4183.19,389805.85,2829904.1
4183.2,390105.88,2833902.54
4183.21,390656.01,2837714.68
4183.22,390974.57,2841722.26
4183.23,391170.18,2845541.33
4183.24,391397.29,2849553.49
4183.25,391592.28,2853376.67
4183.26,391799.53,2857201.78
4183.27,392051.95,2861220.42
4183.28,392427.14,2865050.77
4183.29,392656.54,2869075.81
4183.3,392958.34,2872911.69
4183.31,393315.83,2876943
4183.32,393565.73,2880785.2
4183.33,393788.39,2884821.89
4183.34,394021.74,2888668.54
4183.35,394323.35,2892710.21
4183.36,394725.09,2896563.28
4183.37,394943.41,2900611.85
4183.38,395225.65,2904469.94
4183.39,395445.87,2908523.67
4183.4,395657.94,2912386.41
4183.41,395954.72,2916444.94
4183.42,396213.81,2920312.87
4183.43,396415.86,2924376.63
4183.44,396618.85,2928248.83
4183.45,396835.58,2932316.76
4183.46,397076.52,2936193.24
4183.47,397283.71,2940265.86
4183.48,397534.62,2944146.74
4183.49,397783.1,2948224.37
4183.5,397988.32,2952109.92
4183.51,398190.7,2955997.46
4183.52,398424.74,2960081.68
4183.53,398610.34,2963973.43
4183.54,398812.08,2968061.74
4183.55,398998.18,2971957.22
4183.56,399241.19,2976049.71
4183.57,399431.25,2979949.45
4183.58,399627.73,2984046.17
4183.59,399863.14,2987949.97
4183.6,400059.99,2992051.14
4183.61,400258.03,2995958.91
4183.62,400481.96,3000064.24
4183.63,400700.51,3003976.35
4183.64,400893.72,3008086.07
4183.65,401082.49,3012001.97
4183.66,401284.46,3016115.64
4183.67,401478.74,3020035.4
4183.68,401668.07,3024153.08
4183.69,401863.02,3028076.55
4183.7,402062.72,3032198.22
4183.71,402255.23,3036125.55
4183.72,402451.36,3040251.25
4183.73,402642.35,3044182.35
4183.74,402826.51,3048311.93
4183.75,403029.62,3052246.8
4183.76,403206.03,3056183.48
4183.77,403393.6,3060318.87
4183.78,403568.52,3064259.1
4183.79,403766.09,3068398.23
4183.8,403941.6,3072342.09
4183.81,404137.52,3076485.05
4183.82,404328.6,3080432.6
4183.83,404535.61,3084579.59
4183.84,404722.32,3088531.01
4183.85,404929.3,3092682.02
4183.86,405124.37,3096637.34
4183.87,405339.7,3100792.49
4183.88,405551.92,3104751.9
4183.89,405775.71,3108911.49
4183.9,405990.66,3112875.17
4183.91,406205.19,3117039.23
4183.92,406403.74,3121007
4183.93,406626.05,3125175.32
4183.94,406884.81,3129147.39
4183.95,407149.63,3133320.97
4183.96,407356.38,3137298.01
4183.97,407624.52,3141476.39
4183.98,407841.66,3145458.1
4183.99,408077.84,3149641.28
4184,408288.85,3153627.39
4184.01,408522.03,3157615.68
4184.02,408764,3161805.85
4184.03,408997.22,3165798.82
4184.04,409247.69,3169993.92
4184.05,409486.59,3173991.61
4184.06,409749.02,3178191.74
4184.07,410007.94,3182194.42
4184.08,410281,3186400.02
4184.09,410538.63,3190407.88
4184.1,410814.04,3194618.91
4184.11,411065.79,3198631.95
4184.12,411349.15,3202848.4
4184.13,411631.27,3206866.78
4184.14,411955.94,3211089.23
4184.15,412237.1,3215113.55
4184.16,412587.46,3219342.28
4184.17,412881.19,3223372.89
4184.18,413214,3227608.15
4184.19,413577.68,3231645.15
4184.2,413950.4,3235887.75
4184.21,414252.62,3239931.66
4184.22,414547.57,3244181.01
4184.23,414764.3,3248230.39
4184.24,414977.03,3252484.41
4184.25,415176.54,3256537.87
4184.26,415370.38,3260593.26
4184.27,415576.1,3264853.44
4184.28,415779.23,3268912.77
4184.29,416001.96,3273177.21
4184.3,416214.13,3277240.76
4184.31,416411.97,3281509.56
4184.32,416605.22,3285576.99
4184.33,416805.28,3289849.82
4184.34,417004.21,3293921.14
4184.35,417200.99,3298198.03
4184.36,417395.38,3302273.17
4184.37,417591.85,3306554.09
4184.38,417793.43,3310633.07
4184.39,417998.05,3314918.1
4184.4,418207.4,3319001.09
4184.41,418389.15,3323290.26
4184.42,418573.53,3327376.95
4184.43,418764.6,3331669.88
4184.44,418962,3335760.31
4184.45,419144.71,3340057.22
4184.46,419320.92,3344151.3
4184.47,419508.01,3348451.94
4184.48,419681.5,3352549.55
4184.49,419864.67,3356853.88
4184.5,420031.74,3360954.94
4184.51,420205.23,3365057.66
4184.52,420373.01,3369367.27
4184.53,420540.19,3373473.28
4184.54,420709.79,3377786.33
4184.55,420875.63,3381895.62
4184.56,421041.6,3386212.08
4184.57,421210.47,3390324.63
4184.58,421375.78,3394644.53
4184.59,421548.09,3398760.35
4184.6,421722.42,3403083.75
4184.61,421915.46,3407203.05
4184.62,422096.47,3411530.26
4184.63,422276.51,3415653.17
4184.64,422461.06,3419984.08
4184.65,422641.11,3424110.55
4184.66,422829.25,3428445.21
4184.67,423013.61,3432575.3
4184.68,423191.61,3436913.74
4184.69,423370.83,3441047.33
4184.7,423549.61,3445389.44
4184.71,423732.64,3449526.55
4184.72,423921.53,3453872.41
4184.73,424104.38,3458013.15
4184.74,424278.64,3462362.75
4184.75,424455.89,3466506.95
4184.76,424630.43,3470652.85
4184.77,424830.19,3475007.95
4184.78,425009.31,3479157.52
4184.79,425201.23,3483516.5
4184.8,425377.48,3487669.69
4184.81,425579.62,3492032.46
4184.82,425764.63,3496189.39
4184.83,425972.77,3500556.17
4184.84,426156.43,3504716.94
4184.85,426354.04,3509087.68
4184.86,426545.54,3513252.2
4184.87,426757.02,3517627
4184.88,426944.23,3521795.44
4184.89,427149.59,3526174.3
4184.9,427337.56,3530346.57
4184.91,427569.99,3534729.54
4184.92,427762.23,3538905.95
4184.93,427984.67,3543293.24
4184.94,428249.11,3547473.9
4184.95,428516.08,3551866.54
4184.96,428762.45,3556052.33
4184.97,429056.9,3560450.44
4184.98,429264.42,3564641.43
4184.99,429493.94,3569044.18
4185,429700.42,3573239.42
4185.01,429916.78,3577436.76
4185.02,430163.29,3581846.35
4185.03,430383.19,3586048.22
4185.04,430629.83,3590462.59
4185.05,430857.98,3594669.06
4185.06,431102.47,3599088.29
4185.07,431327.11,3603299.35
4185.08,431567.22,3607723.36
4185.09,431821.76,3611939.11
4185.1,432096.13,3616368.35
4185.11,432348.98,3620589.24
4185.12,432637.5,3625023.95
4185.13,432893.46,3629250.15
4185.14,433174.54,3633690.4
4185.15,433423.84,3637921.8
4185.16,433734.24,3642367.63
4185.17,433986.07,3646604.56
4185.18,434336.08,3651056.25
4185.19,434656.24,3655299.34
4185.2,434976.99,3659757.86
4185.21,435272.59,3664007.22
4185.22,435578.79,3668471.94
4185.23,435785.56,3672726.64
4185.24,436040.84,3677196.54
4185.25,436233.71,3681455.67
4185.26,436437.63,3685716.73
4185.27,436657.55,3690193.05
4185.28,436862.45,3694458.25
4185.29,437083.53,3698938.84
4185.3,437285.06,3703208.2
4185.31,437483.46,3707693.08
4185.32,437676.69,3711966.29
4185.33,437899.25,3716455.26
4185.34,438090.9,3720732.57
4185.35,438303.09,3725225.77
4185.36,438513.17,3729507.11
4185.37,438737.14,3734004.79
4185.38,438939.33,3738290.27
4185.39,439171.03,3742792.37
4185.4,439373.79,3747082.13
4185.41,439601.08,3751588.57
4185.42,439796.76,3755882.51
4185.43,440013.33,3760393.26
4185.44,440200.07,3764691.18
4185.45,440403.88,3769206
4185.46,440585.6,3773507.7
4185.47,440779.16,3778026.44
4185.48,440966.1,3782331.83
4185.49,441167.54,3786854.49
4185.5,441362.97,3791163.69
4185.51,441566.04,3795474.88
4185.52,441756.39,3800003.62
4185.53,441946.57,3804318.56
4185.54,442136.34,3808851.21
4185.55,442323.92,3813169.85
4185.56,442511.11,3817706.35
4185.57,442693.49,3822028.64
4185.58,442877.56,3826568.9
4185.59,443065.85,3830894.8
4185.6,443253.71,3835438.89
4185.61,443439.43,3839768.43
4185.62,443623.82,3844316.36
4185.63,443805.89,3848649.5
4185.64,443992.33,3853201.19
4185.65,444171.6,3857537.91
4185.66,444350.66,3862093.3
4185.67,444537.74,3866433.56
4185.68,444727.74,3870992.77
4185.69,444910.98,3875336.69
4185.7,445091.69,3879899.69
4185.71,445271.48,3884247.14
4185.72,445452.64,3888813.82
4185.73,445643.44,3893164.87
4185.74,445826.07,3897735.39
4185.75,446008.34,3902090.02
4185.76,446185.25,3906446.41
4185.77,446374.98,3911022.5
4185.78,446550.19,3915382.45
4185.79,446750.17,3919962.33
4185.8,446932.93,3924325.99
4185.81,447125.77,3928909.76
4185.82,447298.96,3933277.04
4185.83,447502.53,3937864.6
4185.84,447690.19,3942235.64
4185.85,447888.73,3946827.21
4185.86,448065.94,3951201.96
4185.87,448260.21,3955797.34
4185.88,448442.69,3960175.73
4185.89,448640.11,3964774.99
4185.9,448821.76,3969157.1
4185.91,449027.82,3973760.29
4185.92,449218.65,3978146.21
4185.93,449426.95,3982753.47
4185.94,449637.11,3987143.39
4185.95,449840.45,3991754.99
4185.96,450035.28,3996148.91
4185.97,450254.17,4000764.62
4185.98,450481.29,4005162.77
4185.99,450689.43,4009783.02
4186,450923.68,4014185.43
4186.01,451150.43,4018590.06
4186.02,451385.7,4023217.35
4186.03,451594.67,4027626.4
4186.04,451848.29,4032258.31
4186.05,452094.83,4036672.08
4186.06,452336.82,4041309.04
4186.07,452569.13,4045727.51
4186.08,452853.82,4050369.51
4186.09,453110.15,4054793.13
4186.1,453361.89,4059440.55
4186.11,453613.88,4063869.08
4186.12,453896.31,4068521.84
4186.13,454168.49,4072955.67
4186.14,454475.43,4077614.15
4186.15,454778.63,4082053.77
4186.16,455373.59,4086720.48
4186.17,455656.36,4091168.85
4186.18,455969,4095842.65
4186.19,456386.44,4100297.43
4186.2,456711,4104978.81
4186.21,456996.75,4109440.17
4186.22,457481.76,4114128.81
4186.23,457715.27,4118597.51
4186.24,457945.25,4123292
4186.25,458166.81,4127765.25
4186.26,458372.16,4132240.54
4186.27,458584.09,4136941.75
4186.28,458794.91,4141421.15
4186.29,459014.36,4146126.72
4186.3,459224.09,4150610.32
4186.31,459445.31,4155320.28
4186.32,459680.14,4159808.17
4186.33,459897.96,4164522.84
4186.34,460089.98,4169014.95
4186.35,460304.11,4173733.74
4186.36,460507.08,4178229.94
4186.37,460711.27,4182953
4186.38,460904.17,4187453.06
4186.39,461111.8,4192180.2
4186.4,461294.04,4196684.13
4186.41,461494.2,4201415.21
4186.42,461676.5,4205922.88
4186.43,461880.44,4210657.92
4186.44,462056.54,4215169.32
4186.45,462249.49,4219908.2
4186.46,462429.18,4224423.21
4186.47,462626.09,4229165.94
4186.48,462803.16,4233684.62
4186.49,463002.94,4238431.17
4186.5,463192.22,4242953.63
4186.51,463381.69,4247477.91
4186.52,463564.25,4252230.29
4186.53,463743.84,4256758.15
4186.54,463925.25,4261514.25
4186.55,464097.63,4266045.6
4186.56,464286.5,4270805.35
4186.57,464466.02,4275340.27
4186.58,464637.18,4280103.73
4186.59,464824.11,4284642.1
4186.6,464998.21,4289409.23
4186.61,465171.59,4293951.07
4186.62,465352.89,4298721.79
4186.63,465549.1,4303267.16
4186.64,465751.01,4308041.91
4186.65,465925.14,4312591.09
4186.66,466111.41,4317369.53
4186.67,466325.46,4321922.44
4186.68,466500.17,4326704.97
4186.69,466688.92,4331261.53
4186.7,466893.15,4336047.87
4186.71,467065.62,4340608.18
4186.72,467236.56,4345398.29
4186.73,467412.21,4349961.99
4186.74,467578.77,4354755.62
4186.75,467747.75,4359322.62
4186.76,467909.51,4363891.23
4186.77,468086.61,4368690
4186.78,468248.4,4373261.91
4186.79,468433.69,4378064.19
4186.8,468612.01,4382639.58
4186.81,468795.27,4387445.58
4186.82,468986.27,4392024.55
4186.83,469167.2,4396834.42
4186.84,469354.68,4401417.03
4186.85,469553.84,4406230.76
4186.86,469740.65,4410817.18
4186.87,469923.88,4415634.78
4186.88,470104.27,4420224.77
4186.89,470284.69,4425046.1
4186.9,470470.31,4429639.63
4186.91,470671.93,4434464.79
4186.92,470903.38,4439062.25
4186.93,471214.7,4443892.41
4186.94,471415.4,4448495.07
4186.95,471621.97,4453329.99
4186.96,471829.01,4457936.66
4186.97,472056.75,4462775.9
4186.98,472273.66,4467386.86
4186.99,472492.79,4472230.62
4187,472743.48,4476846.04
4187.01,472953.92,4481463.7
4187.02,473176.52,4486314.43
4187.03,473384.21,4490936.28
4187.04,473629.18,4495791.49
4187.05,473847.5,4500417.82
4187.06,474081.87,4505277.77
4187.07,474328.29,4509908.6
4187.08,474586.3,4514773.61
4187.09,474801.63,4519409.27
4187.1,475042.52,4524279.03
4187.11,475274.21,4528919.19
4187.12,475524.99,4533793.85
4187.13,475768.55,4538438.79
4187.14,476066.01,4543318.68
4187.15,476332.54,4547969.02
4187.16,476634.66,4552854.78
4187.17,476900.31,4557510.7
4187.18,477168.95,4562402.09
4187.19,477448.14,4567063.23
4187.2,477719.1,4571960.31
4187.21,477943.45,4576626.59
4187.22,478213.86,4581528.71
4187.23,478437.51,4586199.84
4187.24,478657.06,4591106.79
4187.25,478844.64,4595782.07
4187.26,479029,4600459.2
4187.27,479231.78,4605372.14
4187.28,479430.67,4610053.1
4187.29,479631.78,4614970.18
4187.3,479818.66,4619654.98
4187.31,480024.8,4624576.05
4187.32,480226.56,4629264.76
4187.33,480433.01,4634190.01
4187.34,480627.99,4638882.67
4187.35,480835.4,4643812.04
4187.36,481039.05,4648508.66
4187.37,481261.12,4653442.34
4187.38,481454.7,4658143.09
4187.39,481668.21,4663080.97
4187.4,481863.59,4667785.7
4187.41,482079.85,4672727.81
4187.42,482264.82,4677436.52
4187.43,482469.27,4682382.65
4187.44,482656.56,4687095.19
4187.45,482862.37,4692045.34
4187.46,483047.59,4696761.69
4187.47,483242.94,4701715.8
4187.48,483426.99,4706435.87
4187.49,483615.51,4711393.83
4187.5,483817.19,4716117.55
4187.51,484006.3,4720843.22
4187.52,484191.38,4725807.12
4187.53,484373.86,4730536.44
4187.54,484553.36,4735504.06
4187.55,484760.74,4740237.07
4187.56,484958.54,4745208.74
4187.57,485148.05,4749945.59
4187.58,485327.63,4754921.14
4187.59,485513.45,4759661.56
4187.6,485694.7,4764640.86
4187.61,485896.61,4769384.95
4187.62,486079.02,4774368.2
4187.63,486257.32,4779115.93
4187.64,486434.67,4784102.84
4187.65,486616.39,4788854.05
4187.66,486793.61,4793844.65
4187.67,486970.73,4798599.34
4187.68,487146.53,4803593.56
4187.69,487319.47,4808351.7
4187.7,487504.84,4813349.6
4187.71,487674.67,4818111.21
4187.72,487849.63,4823112.7
4187.73,488014.74,4827877.67
4187.74,488200.21,4832882.67
4187.75,488379.98,4837651.13
4187.76,488567.65,4842421.38
4187.77,488760.97,4847432.08
4187.78,488949.17,4852206.07
4187.79,489132.86,4857220.65
4187.8,489312.81,4861998.21
4187.81,489497.86,4867016.52
4187.82,489688.11,4871797.69
4187.83,489875.46,4876819.87
4187.84,490074.22,4881604.75
4187.85,490274.69,4886630.95
4187.86,490459.18,4891419.69
4187.87,490645.68,4896449.76
4187.88,490831.26,4901242.11
4187.89,491022,4906276.02
4187.9,491219.35,4911072.1
4187.91,491420.82,4916110.04
4187.92,491609.54,4920909.99
4187.93,491821.31,4925951.95
4187.94,492017.68,4930755.84
4187.95,492214.56,4935801.94
4187.96,492415.78,4940609.69
4187.97,492626.34,4945659.92
4187.98,492840.07,4950471.78
4187.99,493039.98,4955526.33
4188,493245.65,4960342.14
4188.01,493452.36,4965159.94
4188.02,493682.48,4970220.93
4188.03,493890.32,4975043.01
