,Site,Season,Type,Loc,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
32,Parley's Creek,Summer,Depletion,NA,11.59,426.85,426.85,426.85,426.85,426.85,436.21,436.55,435.89,436.13,436.07,435.03,447.01,450.99,446.19,447.8,454.58,448,450.28,441.88,,
33,Salt Lake Valley,Summer,Depletion,NA,271538.13,259034.33,256064.07,262651.5,256142.95,256127.46,265384.63,266671.28,273606.37,264263.37,264873.42,265847.29,279350.3,279193.6,282319.51,234693.41,261078.76,226402.76,218475.26,223179.52,,
34,SodaSprings,Summer,Flow,NA,149882.4771,251004.174,243809.85,NA,NA,NA,NA,NA,NA,NA,277082.607,272095.362,320000.676,338696.4,307977.747,296266.149,298364.163,279006.117,279296.2299,275034.168,,
35,SodaSprings,Winter,Flow,NA,49683.6684,53165.8164,58788.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
36,Thomas Fork,Summer,Depletion,3,35349.69,36099.07,39565.49,39403.59,36616.77,33254.67,26001.57,37631.69,40089.96,30703.09,31498.48,32929.72,36857.61,32416.31,36215.88,31948.64,35078.11,34670.44,35163.64,41392.76,,
37,Thomas Fork,Summer,Flow,3,56534.3385,245848.374,160383.2553,76536.4629,169828.086,239258.865,158329.0656,667537.29,78958.4991,57428.4732,148768.626,114198.5904,181440.9306,451975.275,127492.4241,220818.7497,143087.7276,47022.4824,81047.9862,361532.628,,
38,Thomas Fork,Winter,Flow,3,35268.4482,44609.7663,51302.5896,86710.641,36887.1711,59702.181,54687.174,53218.1676,109997.01,45577.4703,46722.4545,71685.45,52729.953,157095.4413,98800.992,50155.8207,70376.67,49725.3114,40427.0244,40255.0983,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tremonton,Summer,Depletion,7,154775.33,124566.35,145901.19,159193.32,153338.36,111064.4,143043.03,115499.68,168074.58,151928.39,132568.47,119307.22,136462.28,134394.43,159920.42,119033.95,157206.39,167206.97,149249.15,136376.08,,
40,Tremonton,Summer,Flow,7,133403.3505,781680.753,658601.892,138888.9234,260079.7701,533922.9483,275916.4047,1200377.322,189483.582,164624.694,206319.252,236079.7194,367026.9261,921416.814,283124.808,554664.93,315118.53,102618.0687,172211.2554,913234.956,,
41,Tremonton,Winter,Flow,7,313440.912,412261.734,525613.98,511562.442,309944.883,391095.192,365909.109,465564.774,682548.6,341385.348,315848.274,301136.397,338793.567,887705.814,772495.497,408716.13,563743.104,325660.158,292272.387,325096.986,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Summer,,,160162.944,195143.8572,232108.167,233416.947,246494.832,221197.701,241154.613,209065.707,243772.173,242844.129,244333.362,239369.913,248789.163,238987.194,260118.042,224977.299,255206.151,225843.87,239330.253,220390.62,230993.721,247196.814
,,Winter,,,20575.608,277.62,14648.421,27448.686,37074.168,15130.29,14856.636,25884.099,47153.757,30629.418,18937.65,20325.75,40433.37,32176.158,28418.373,31488.057,26169.651,39616.374,18792.891,23684.952,26346.138,32566.809
