"","site_no","Date","LakeLevel(ft)"
"8710","10010000",2022-11-05,4188.7
"8711","10010000",2022-11-06,4188.7
"8712","10010000",2022-11-07,4188.5
"8713","10010000",2022-11-08,4188.6
"8714","10010000",2022-11-09,4188.7
"8715","10010000",2022-11-10,4188.8
"8716","10010000",2022-11-11,4188.8
"8717","10010000",2022-11-12,4188.7
"8718","10010000",2022-11-13,4188.7
"8719","10010000",2022-11-14,4188.7
"8720","10010000",2022-11-15,4188.7
"8721","10010000",2022-11-16,4188.7
"8722","10010000",2022-11-17,4188.8
"8723","10010000",2022-11-18,4188.8
"8724","10010000",2022-11-19,4188.7
"8725","10010000",2022-11-20,4188.8
"8726","10010000",2022-11-21,4188.8
"8727","10010000",2022-11-22,4188.7
"8728","10010000",2022-11-23,4188.7
"8729","10010000",2022-11-24,4188.7
"8730","10010000",2022-11-25,4188.8
"8731","10010000",2022-11-26,4188.8
"8732","10010000",2022-11-27,4188.8
"8733","10010000",2022-11-28,4188.9
"8734","10010000",2022-11-29,4188.8
"8735","10010000",2022-11-30,4188.8
"8736","10010000",2022-12-01,4189
"8737","10010000",2022-12-02,4189.2
"8738","10010000",2022-12-03,4188.9
"8739","10010000",2022-12-04,4188.9
"8740","10010000",2022-12-05,4188.9
"8741","10010000",2022-12-06,4188.9
"8742","10010000",2022-12-07,4188.9
"8743","10010000",2022-12-08,4188.9
"8744","10010000",2022-12-09,4188.9
"8745","10010000",2022-12-10,4189
"8746","10010000",2022-12-11,4189
"8747","10010000",2022-12-12,4188.9
"8748","10010000",2022-12-13,4188.9
"8749","10010000",2022-12-14,4189
"8750","10010000",2022-12-15,4189
"8751","10010000",2022-12-16,4189
"8752","10010000",2022-12-17,4189
"8753","10010000",2022-12-18,4189
"8754","10010000",2022-12-19,4189
"8755","10010000",2022-12-20,4189
"8756","10010000",2022-12-21,4189.1
"8757","10010000",2022-12-22,4189
"8758","10010000",2022-12-23,4189
"8759","10010000",2022-12-24,4189
"8760","10010000",2022-12-25,4189
"8761","10010000",2022-12-26,4189
"8762","10010000",2022-12-27,4189
"8763","10010000",2022-12-28,4189.2
"8764","10010000",2022-12-29,4189
"8765","10010000",2022-12-30,4189.1
"8766","10010000",2022-12-31,4189.1
"8767","10010000",2023-01-01,4189.3
"8768","10010000",2023-01-02,4189.3
"8769","10010000",2023-01-03,4189.2
"8770","10010000",2023-01-04,4189.2
"8771","10010000",2023-01-05,4189.2
"8772","10010000",2023-01-06,4189.3
"8773","10010000",2023-01-07,4189.3
"8774","10010000",2023-01-08,4189.3
"8775","10010000",2023-01-09,4189.3
"8776","10010000",2023-01-10,4189.5
"8777","10010000",2023-01-11,4189.5
"8778","10010000",2023-01-12,4189.5
"8779","10010000",2023-01-13,4189.6
"8780","10010000",2023-01-14,4189.6
"8781","10010000",2023-01-15,4189.7
"8782","10010000",2023-01-16,4189.7
"8783","10010000",2023-01-17,4189.9
"8784","10010000",2023-01-18,4189.9
"8785","10010000",2023-01-19,4189.8
"8786","10010000",2023-01-20,4190
"8787","10010000",2023-01-21,4189.9
"8788","10010000",2023-01-22,4190
"8789","10010000",2023-01-23,4190.1
"8790","10010000",2023-01-24,4189.9
"8791","10010000",2023-01-25,4189.9
"8792","10010000",2023-01-26,4189.9
"8793","10010000",2023-01-27,4189.9
"8794","10010000",2023-01-28,4190
"8795","10010000",2023-01-29,4190.2
"8796","10010000",2023-01-30,4190.1
"8797","10010000",2023-01-31,4190
"8798","10010000",2023-02-01,4190
"8799","10010000",2023-02-02,4190
"8800","10010000",2023-02-03,4190
"8801","10010000",2023-02-04,4190
"8802","10010000",2023-02-05,4190
"8803","10010000",2023-02-06,4190
"8804","10010000",2023-02-07,4190
"8805","10010000",2023-02-08,4190.1
"8806","10010000",2023-02-09,4190.1
"8807","10010000",2023-02-10,4190.1
"8808","10010000",2023-02-11,4190.1
"8809","10010000",2023-02-12,4190.1
"8810","10010000",2023-02-13,4190.1
"8811","10010000",2023-02-14,4190.2
"8812","10010000",2023-02-15,4190.4
"8813","10010000",2023-02-16,4190.1
"8814","10010000",2023-02-17,4190.1
"8815","10010000",2023-02-18,4190.1
"8816","10010000",2023-02-19,4190.1
"8817","10010000",2023-02-20,4190.1
"8818","10010000",2023-02-21,4190.2
"8819","10010000",2023-02-22,4190.5
"8820","10010000",2023-02-23,4190.1
"8821","10010000",2023-02-24,4190.2
"8822","10010000",2023-02-25,4190.2
"8823","10010000",2023-02-26,4190.2
"8824","10010000",2023-02-27,4190
"8825","10010000",2023-02-28,4190.1
"8826","10010000",2023-03-01,4190.3
"8827","10010000",2023-03-02,4190.3
"8828","10010000",2023-03-03,4190.3
"8829","10010000",2023-03-04,4190.3
"8830","10010000",2023-03-05,4190.4
"8831","10010000",2023-03-06,4190.3
"8832","10010000",2023-03-07,4190.4
"8833","10010000",2023-03-08,4190.4
"8834","10010000",2023-03-09,4190.5
"8835","10010000",2023-03-10,4190.3
"8836","10010000",2023-03-11,4190.5
"8837","10010000",2023-03-12,4190.5
"8838","10010000",2023-03-13,4190.6
"8839","10010000",2023-03-14,4190.5
"8840","10010000",2023-03-15,4190.8
"8841","10010000",2023-03-16,4190.8
"8842","10010000",2023-03-17,4190.7
"8843","10010000",2023-03-18,4190.7
"8844","10010000",2023-03-19,4190.7
"8845","10010000",2023-03-20,4190.8
"8846","10010000",2023-03-21,4190.8
"8847","10010000",2023-03-22,4191
"8848","10010000",2023-03-23,4191
"8849","10010000",2023-03-24,4191.3
"8850","10010000",2023-03-25,4191.2
"8851","10010000",2023-03-26,4191.2
"8852","10010000",2023-03-27,4191.2
"8853","10010000",2023-03-28,4191.1
"8854","10010000",2023-03-29,4191.2
"8855","10010000",2023-03-30,4191.4
"8856","10010000",2023-03-31,4191.3
"8857","10010000",2023-04-01,4191.3
"8858","10010000",2023-04-02,4191.5
"8859","10010000",2023-04-03,4191.8
"8860","10010000",2023-04-04,4191.7
"8861","10010000",2023-04-05,4191.6
"8862","10010000",2023-04-06,4191.6
"8863","10010000",2023-04-07,4191.7
"8864","10010000",2023-04-08,4191.7
"8865","10010000",2023-04-09,4191.8
"8866","10010000",2023-04-10,4191.8
"8867","10010000",2023-04-11,4191.8
"8868","10010000",2023-04-12,4191.9
"8869","10010000",2023-04-13,4192
"8870","10010000",2023-04-14,4192
"8871","10010000",2023-04-15,4192
"8872","10010000",2023-04-16,4192
"8873","10010000",2023-04-17,4192.1
"8874","10010000",2023-04-18,4192.4
"8875","10010000",2023-04-19,4192.2
"8876","10010000",2023-04-20,4192.2
"8877","10010000",2023-04-21,4192.2
"8878","10010000",2023-04-22,4192.2
"8879","10010000",2023-04-23,4192.3
"8880","10010000",2023-04-24,4192.4
"8881","10010000",2023-04-25,4192.4
"8882","10010000",2023-04-26,4192.4
"8883","10010000",2023-04-27,4192.5
"8884","10010000",2023-04-28,4192.5
"8885","10010000",2023-04-29,4192.5
"8886","10010000",2023-04-30,4192.5
"8887","10010000",2023-05-01,4192.6
"8888","10010000",2023-05-02,4192.6
"8889","10010000",2023-05-03,4192.6
"8890","10010000",2023-05-04,4192.6
"8891","10010000",2023-05-05,4192.5
"8892","10010000",2023-05-06,4192.7
"8893","10010000",2023-05-07,4192.7
"8894","10010000",2023-05-08,4192.8
"8895","10010000",2023-05-09,4192.9
"8896","10010000",2023-05-10,4193
"8897","10010000",2023-05-11,4192.9
"8898","10010000",2023-05-12,4193
"8899","10010000",2023-05-13,4193
"8900","10010000",2023-05-14,4192.9
"8901","10010000",2023-05-15,4193.1
"8902","10010000",2023-05-16,4193.1
"8903","10010000",2023-05-17,4193.2
"8904","10010000",2023-05-18,4193.3
"8905","10010000",2023-05-19,4193.3
"8906","10010000",2023-05-20,4193.4
"8907","10010000",2023-05-21,4193.4
"8908","10010000",2023-05-22,4193.4
"8909","10010000",2023-05-23,4193.4
"8910","10010000",2023-05-24,4193.6
"8911","10010000",2023-05-25,4193.6
"8912","10010000",2023-05-26,4193.5
"8913","10010000",2023-05-27,4193.6
"8914","10010000",2023-05-28,4193.7
"8915","10010000",2023-05-29,4193.7
"8916","10010000",2023-05-30,4193.8
"8917","10010000",2023-05-31,4193.8
"8918","10010000",2023-06-01,4193.8
"8919","10010000",2023-06-02,4193.8
"8920","10010000",2023-06-03,4193.8
"8921","10010000",2023-06-04,4193.8
"8922","10010000",2023-06-05,4193.8
"8923","10010000",2023-06-06,4193.8
"8924","10010000",2023-06-07,4193.8
"8925","10010000",2023-06-08,4193.8
"8926","10010000",2023-06-09,4193.8
"8927","10010000",2023-06-10,4193.9
"8928","10010000",2023-06-11,4193.8
"8929","10010000",2023-06-12,4193.8
"8930","10010000",2023-06-13,4193.9
"8931","10010000",2023-06-14,4193.9
"8932","10010000",2023-06-15,4193.8
"8933","10010000",2023-06-16,4193.9
"8934","10010000",2023-06-17,4193.9
"8935","10010000",2023-06-18,4193.8
"8936","10010000",2023-06-19,4194
"8937","10010000",2023-06-20,4194
"8938","10010000",2023-06-21,4193.9
"8939","10010000",2023-06-22,4193.9
"8940","10010000",2023-06-23,4193.8
"8941","10010000",2023-06-24,4193.8
"8942","10010000",2023-06-25,4193.8
"8943","10010000",2023-06-26,4193.9
"8944","10010000",2023-06-27,4193.9
"8945","10010000",2023-06-28,4193.8
"8946","10010000",2023-06-29,4193.8
"8947","10010000",2023-06-30,4193.8
"8948","10010000",2023-07-01,4193.8
"8949","10010000",2023-07-02,4193.8
"8950","10010000",2023-07-03,4193.8
"8951","10010000",2023-07-04,4193.8
"8952","10010000",2023-07-05,4193.8
"8953","10010000",2023-07-06,4193.7
"8954","10010000",2023-07-07,4193.8
"8955","10010000",2023-07-08,4193.7
"8956","10010000",2023-07-09,4193.7
"8957","10010000",2023-07-10,4193.6
"8958","10010000",2023-07-11,4193.6
"8959","10010000",2023-07-12,4193.6
"8960","10010000",2023-07-13,4193.6
"8961","10010000",2023-07-14,4193.6
"8962","10010000",2023-07-15,4193.5
"8963","10010000",2023-07-16,4193.5
"8964","10010000",2023-07-17,4193.5
"8965","10010000",2023-07-18,4193.5
"8966","10010000",2023-07-19,4193.4
"8967","10010000",2023-07-20,4193.4
"8968","10010000",2023-07-21,4193.4
"8969","10010000",2023-07-22,4193.4
"8970","10010000",2023-07-23,4193.3
"8971","10010000",2023-07-24,4193.4
"8972","10010000",2023-07-25,4193.3
"8973","10010000",2023-07-26,4193.2
"8974","10010000",2023-07-27,4193.3
"8975","10010000",2023-07-28,4193.3
"8976","10010000",2023-07-29,4193.2
"8977","10010000",2023-07-30,4193.2
"8978","10010000",2023-07-31,4193.1
"8979","10010000",2023-08-01,4193.2
"8980","10010000",2023-08-02,4193.1
"8981","10010000",2023-08-03,4193.1
"8982","10010000",2023-08-04,4193.2
"8983","10010000",2023-08-05,4193.1
"8984","10010000",2023-08-06,4193.1
"8985","10010000",2023-08-07,4193.1
"8986","10010000",2023-08-08,4193.1
"8987","10010000",2023-08-09,4193
"8988","10010000",2023-08-10,4193
"8989","10010000",2023-08-11,4193
"8990","10010000",2023-08-12,4192.9
"8991","10010000",2023-08-13,4192.9
"8992","10010000",2023-08-14,4192.9
"8993","10010000",2023-08-15,4192.9
"8994","10010000",2023-08-16,4192.9
"8995","10010000",2023-08-17,4192.8
"8996","10010000",2023-08-18,4192.8
"8997","10010000",2023-08-19,4192.8
"8998","10010000",2023-08-20,4192.8
"8999","10010000",2023-08-21,4192.6
"9000","10010000",2023-08-22,4192.7
"9001","10010000",2023-08-23,4192.7
"9002","10010000",2023-08-24,4192.7
"9003","10010000",2023-08-25,4192.7
"9004","10010000",2023-08-26,4192.7
"9005","10010000",2023-08-27,4192.7
"9006","10010000",2023-08-28,4192.7
"9007","10010000",2023-08-29,4192.7
"9008","10010000",2023-08-30,4192.7
"9009","10010000",2023-08-31,4192.6
"9010","10010000",2023-09-01,4192.2
"9011","10010000",2023-09-02,4192.5
"9012","10010000",2023-09-03,4192.6
"9013","10010000",2023-09-04,4192.5
"9014","10010000",2023-09-05,4192.5
"9015","10010000",2023-09-06,4192.5
"9016","10010000",2023-09-07,4192.5
"9017","10010000",2023-09-08,4192.4
"9018","10010000",2023-09-09,4192.4
"9019","10010000",2023-09-10,4192.4
"9020","10010000",2023-09-11,4192.4
"9021","10010000",2023-09-12,4192.4
"9022","10010000",2023-09-13,4192.4
"9023","10010000",2023-09-14,4192.4
"9024","10010000",2023-09-15,4192.4
"9025","10010000",2023-09-16,4192.3
"9026","10010000",2023-09-17,4192.3
"9027","10010000",2023-09-18,4192.3
"9028","10010000",2023-09-19,4192.3
"9029","10010000",2023-09-20,4192.3
"9030","10010000",2023-09-21,4192.3
"9031","10010000",2023-09-22,4192.3
"9032","10010000",2023-09-23,4192.3
"9033","10010000",2023-09-24,4192.2
"9034","10010000",2023-09-25,4192.2
"9035","10010000",2023-09-26,4192.2
"9036","10010000",2023-09-27,4192.2
"9037","10010000",2023-09-28,4192.3
"9038","10010000",2023-09-29,4192.2
"9039","10010000",2023-09-30,4192.1
"9040","10010000",2023-10-01,4192
"9041","10010000",2023-10-02,4192.2
"9042","10010000",2023-10-03,4192.2
"9043","10010000",2023-10-04,4192.2
"9044","10010000",2023-10-05,4192.2
"9045","10010000",2023-10-06,4192.2
"9046","10010000",2023-10-07,4192.2
"9047","10010000",2023-10-08,4192.2
"9048","10010000",2023-10-09,4192.2
"9049","10010000",2023-10-10,4192.2
"9050","10010000",2023-10-11,4192.3
"9051","10010000",2023-10-12,4192.2
"9052","10010000",2023-10-13,4192.2
"9053","10010000",2023-10-14,4192.2
"9054","10010000",2023-10-15,4192.2
"9055","10010000",2023-10-16,4192.2
"9056","10010000",2023-10-17,4192.2
"9057","10010000",2023-10-18,4192.2
"9058","10010000",2023-10-19,4192.2
"9059","10010000",2023-10-20,4192.2
"9060","10010000",2023-10-21,4192.2
"9061","10010000",2023-10-22,4192.2
"9062","10010000",2023-10-23,4192.2
"9063","10010000",2023-10-24,4192.2
"9064","10010000",2023-10-25,4192.1
"9065","10010000",2023-10-26,4192.2
"9066","10010000",2023-10-27,4192.1
"9067","10010000",2023-10-28,4192.3
"9068","10010000",2023-10-29,4192.2
"9069","10010000",2023-10-30,4192.1
"9070","10010000",2023-10-31,4192.1
"9071","10010000",2023-11-01,4192.1
"9072","10010000",2023-11-02,4192.1
"9073","10010000",2023-11-03,4192.1
"9074","10010000",2023-11-04,4192.1
"9075","10010000",2023-11-05,4192.1
"9076","10010000",2023-11-06,4192.1
"9077","10010000",2023-11-07,4192.1
"9078","10010000",2023-11-08,4192.2
"9079","10010000",2023-11-09,4192.1
"9080","10010000",2023-11-10,4192.1
"9081","10010000",2023-11-11,4192.1
"9082","10010000",2023-11-12,4192.1
"9083","10010000",2023-11-13,4192.2
"9084","10010000",2023-11-14,4192.2
"9085","10010000",2023-11-15,4192.2
"9086","10010000",2023-11-16,4192.2
"9087","10010000",2023-11-17,4192.2
"9088","10010000",2023-11-18,4192.2
"9089","10010000",2023-11-19,4192.3
"9090","10010000",2023-11-20,4192.3
"9091","10010000",2023-11-21,4192.2
"9092","10010000",2023-11-22,4192.2
"9093","10010000",2023-11-23,4192.3
"9094","10010000",2023-11-24,4192.3
"9095","10010000",2023-11-25,4192.3
"9096","10010000",2023-11-26,4192.3
"9097","10010000",2023-11-27,4192.3
"9098","10010000",2023-11-28,4192.3
"9099","10010000",2023-11-29,4192.3
"9100","10010000",2023-11-30,4192.3
"9101","10010000",2023-12-01,4192.3
"9102","10010000",2023-12-02,4192.2
"9103","10010000",2023-12-03,4192.3
"9104","10010000",2023-12-04,4192.3
"9105","10010000",2023-12-05,4192.3
"9106","10010000",2023-12-06,4192.4
